group,gs_name,pval,adj_p,numDEInCat,numInCat,gs_url,gs_description,gene_name
AR Up - H3K27ac Unchanged,HALLMARK_ESTROGEN_RESPONSE_EARLY,8.261453914135665e-11,2.1298028190641745e-7,85,177,,Genes defining early response to estrogen.,ADCY9; ADD3; AFF1; AKAP1; AMFR; AQP3; AREG; ARL3; ASB13; B4GALT1; BAG1; BCL2; BLVRB; CA12; CCN5; CELSR1; ELOVL5; FAM102A; FARP1; FASN; FHL2; FKBP5; FLNB; FOS; FRK; GAB2; GFRA1; GREB1; HES1; IGF1R; IGFBP4; IL6ST; INHBB; ITPK1; KLF10; KLF4; KRT15; KRT18; KRT19; KRT8; LRIG1; MAPT; MAST4; MED13L; MLPH; MREG; MYB; MYBL1; MYC; MYOF; NCOR2; OVOL2; P2RY2; PAPSS2; PLAAT3; PODXL; PPIF; RAB17; RAB31; RARA; REEP1; RETREG1; RHOBTB3; RHOD; SIAH2; SLC1A4; SLC22A5; SLC24A3; SLC26A2; SLC2A1; SLC39A6; SLC7A2; SLC9A3R1; SULT2B1; SYBU; SYT12; TFAP2C; THSD4; TIPARP; TMEM164; TOB1; TSKU; UGCG; WWC1; XBP1
AR Up - H3K27ac Unchanged,GREB1_TARGET_GENES,2.780180282899977e-8,3.5836523846580704e-5,228,652,http://gtrd.biouml.org/,"Genes containing one or more binding sites for UniProt:Q4ZG55 (GREB1) in their promoter regions (TSS -1000,+100 bp) as identified by GTRD version 20.06 ChIP-seq harmonization.",ABCC11; ADAP1; ADIRF-AS1; AFAP1; AFF1; AKAP1; AKAP1-DT; AMOTL2; AMZ1; ANAPC2; ANKFY1; ARRDC1; ASCC2; ATP2A2; ATP8B1; ATXN7L1; BCAR3; BCL3; BLVRB; C1QTNF6; C9orf152; CA12; CAB39L; CAMTA1; CCDC40; CCDC88C; CCN5; CELSR1; CEP89; CFAP45; CHD6; CHD8; CHST12; CHTF18; CITED2; CORO2A; CRACR2A; CYB561; CYP1B1; CYP1B1-AS1; DDA1; DDX47; DLG5; DNASE1; DNMBP; DNPEP; DOK7; DOP1B; DRAIC; DSCAM-AS1; ECH1; EHD1; EHF; EHMT1; ENC1; ENSA; ENSG00000224934; EPB41L1; EPG5; EPHA1; EPN3; ERBB2; ERGIC1; ETNK2; EVL; EXOSC10; FAAP24; FAM107B; FAM117A; FAM174B; FAM234B; FHDC1; FMN1; GIGYF2; GOLPH3L; GOT1; GPRC5A; GRAMD1A; GREB1; GRHL2; GTPBP3; HEBP2; HK1; HMGCS1; HNRNPC; HNRNPL; ID1; IDE; IFRD1; IGF1R; IGSF3; IGSF9; IKBKG; INPP4B; IQCD; JUP; KAT7; KIAA1217; KIF21A; KLF6; KLHL25; KRT7; KRT8; KRT80; LCOR; LDLRAD4; LFNG; LINC00511; LINC00963; LINC01588; LLGL2; LPP; MAP4K3-DT; MAPKAP1; MCCC2; MCF2L; MCRIP2; MIDEAS; MIR9-3HG; MIX23; MPHOSPH10; MTMR12; MTUS1; NAALADL2; NAGK; NAIF1; NCAM2; NDRG1; NFKBIA; NFKBIZ; NFYB; NMT1; NRP1; OSBPL10; OSBPL2; OVOL2; PBX1; PCBP1-AS1; PIK3C2G; PKP4-AS1; PLA2G6; PLEKHF2; PNKD; PNPLA7; PRKCD; PRKCH; PROSER2; PRR15L; PSCA; PSMG3; PUM2; PWWP2A; PXDN; PXMP4; RABL3; RAD51B; RARA; RBM20; RBM47; RECQL5; RFFL; RGMB; RGMB-AS1; RHOBTB3; RNF207; RNF224; SCGB1D2; SCIN; SERPINA1; SIDT2; SLC16A3; SLC1A5; SLC25A25; SLC38A1; SLC38A2; SLC39A1; SLC44A2; SLC7A2; SLC9A8; SMARCD2; SNX9; SPECC1L; SPRED2; SPRYD3; SPTBN4; SPTLC2; SPTSSB; SRPK1; SSNA1; ST6GAL1; SULT1A1; SYBU; SYT8; TBC1D16; TBC1D8; TFAP2C; THADA; THSD4; TIPARP; TLE1; TMBIM1; TMC1; TMEM184B; TMEM229B; TMEM241; TMEM94; TNK2; TOP2A; TPRN; TRIB1; TUBB4B; UBE2C; VAMP5; VAV3; VIRMA; VMP1; WDR90; WIPI1; WWC1; ZDHHC1; ZKSCAN1; ZMYND8; ZNF444; ZNF552; ZNF687; ZNF689; ZNRF1; ZSWIM1
AR Up - H3K27ac Unchanged,BPTF_TARGET_GENES,5.2018769976746296e-8,4.470146300001732e-5,188,523,http://gtrd.biouml.org/,"Genes containing one or more binding sites for UniProt:Q12830 (BPTF) in their promoter regions (TSS -1000,+100 bp) as identified by GTRD version 20.06 ChIP-seq harmonization.",ABCB9; ABCC5; ACAD10; AFF1; ANK3; AP2B1; ARHGEF2; ARHGEF26-AS1; ARID5B; ARRDC1; ATG7; ATP2A2; B4GALT5; BRD3OS; BTBD11; BZW2; C1orf52; C2orf76; CANX; CASP2; CBX4; CCDC57; CD82; CDC42SE1; CDK5RAP1; CFAP45; CHD2; CMAHP; CPD; CTDSP2; CTNNA1; CUEDC1; DBI; DGLUCY; DNASE1; DRAM1; DYNLL1; ECT2; EEF1AKMT3; EHHADH; EIF2AK4; ELMO1; EML3; ENSG00000224934; ERAL1; ERGIC2; ETFA; EXPH5; FAM107B; FAM20B; FAR2; FBXL18; FNDC3B; FRMD3; FRMD4A; GARS1; GNA12; GOLPH3L; GOT1; GPHN; GPS1; GREB1; GSE1; H3-3B; HECTD1; HEG1; HERC6; IYD; JUP; KCNB1; KIF23; KLF10; KMT2A; KRT19; KRT81; LCOR; LIMCH1; LINC01137; LINC01588; LINC02303; LMNA; LPP; LRRC26; LRRC45; MAGI2; MAPK6; MAPRE2; MBNL1; METTL25; MEX3A; MIDEAS; MOB4; MRPL13; MRPS15; MTHFD2L; MXRA8; NCALD; NCAM2; NCL; NDUFAF6; NFX1; NOL3; NR6A1; NSMCE2; NSMF; NUPR1; OPA1; OVCH1-AS1; PARP14; PEX14; PHF14; PHF19; PIK3CB; PITRM1; PLA2G6; PLD1; POFUT1; PPP2CA; PPP2CA-DT; PRLR; PROSER2; PTK2; PWWP2A; RAB31; RABEPK; RAD23B; RAD51; RAD51-AS1; RALGAPB; RAPGEF6; RGMB-AS1; RGS9; RIC1; RITA1; RNF157; RPA1; SARS2; SENP2; SENP5; SKP1; SLC1A5; SMARCD2; SMARCE1; SMIM14; SNHG32; SNX27; SPAG9; SPECC1; SPIDR; SPRYD3; SPSB1; SQOR; SRCAP; SRGAP1; SSR3; STARD3; STRBP; TAPT1; TARDBP; TBC1D16; TBL1XR1; TFAP2A; THRA; TIGD6; TMEM106C; TMEM25; TMEM41A; TMEM94; TNIK; TNK2; TNS2; TOR3A; TSEN15; TTC21A; TXNIP; TXNRD1; ULK2; VDR; VPS13B; VPS13B-DT; WBP1L; WIPF2; ZC3H12A; ZC3H7A; ZCCHC24; ZFAND6; ZNF131; ZNF621
AR Up - H3K27ac Unchanged,HES2_TARGET_GENES,6.33889636708706e-7,4.0854187085876103e-4,288,882,http://gtrd.biouml.org/,"Genes containing one or more binding sites for UniProt:Q9Y543 (HES2) in their promoter regions (TSS -1000,+100 bp) as identified by GTRD version 20.06 ChIP-seq harmonization.",ABCC3; ABHD11; ABHD12; ADAP1; ADAR; ADD3; ADRM1; AFDN; AHCYL1; AJUBA; AKAP6; ANK3; ANKRD40; ANXA2; AOPEP; APOLD1; AQP3; AREG; ARHGAP21; ARID5B; ASCC2; ATP5MC2; ATXN10; ATXN7L1; BAZ2B; BCL10; BCL6; BCOR; BDP1; BMERB1; BMF; BMPR1B; BZW2; C1QTNF6; C2orf76; CADM2; CBX4; CCDC57; CCND3; CDC42SE1; CDK5RAP1; CDK5RAP2; CECR2; CELSR1; CEP112; CFAP418; CHCHD5; CHD1; CHD2; CHEK2; CHP1; CIART; CIPC; CLGN; COL12A1; CPD; CRYBG1; CSAD; CSGALNACT1; CSTA; CUEDC1; CUL2; CYB5A; CYTH1; DAGLB; DBI; DDIAS; DDIT4; DDX10; DDX47; DLG5; DLGAP1-AS1; DNMT3B; DPY19L1; DRAIC; DRAM1; DTNA; E2F2; ECHDC3; EFNA5; EHD1; EHF; EHMT1; EIF5A2; ERGIC1; ERI1; ETNK2; ETV6; EVL; EXD3; FADS1; FAM107B; FAM13A; FBXL18; FGD4; FLNB; FLOT1; FMN1; FOS; GARS1; GARS1-DT; GBE1; GMCL1; GON4L; GPD1L; GPRC5A; GREB1; GTF2F2; GTPBP2; HBP1; HDAC11; HGD; HK1; HMGCL; HMOX1; HNMT; HSPD1; HSPE1; IFT122; IGF1R; IL6R; INTS5; IQGAP2; ITGB5; ITPRIPL2; JRK; KIAA0232; KLF13; KLF5; KMT2A; KRT7; KRT8; LDLRAD4; LIMCH1; LINC00511; LINC00886; LINC00963; LINC02615; LMO7; LPIN2; MAPK3; MBD4; MBNL1; MBP; MCCC2; MCL1; MDH2; ME2; MED23; MED28; MIB1; MIDEAS; MIX23; MLPH; MPP3; MRC2; MRPS15; MRPS23; MT1F; MT2A; MTHFD2L; MTMR12; MYO10; NCR3LG1; NDRG1; NDUFB11; NEDD4L; NFIA; NFIB; NFKBIA; NFKBIZ; NFX1; NIBAN1; NIBAN2; NKILA; NRG1; NRP1; NTN4; P4HA2; PAFAH2; PARP8; PCBP1-AS1; PDE4D; PECR; PER1; PER2; PIGT; PIK3C3; PKP4-AS1; PLD1; PLEKHG2; PMEPA1; POLG; PRCP; PRKCH; PRMT5; PSMG3; PTPN12; PTPRM; PVT1; RAB31; RABEPK; RFESD; RFFL; RHOBTB3; RHOT2; RMDN3; RPH3AL; RPS6KB1; S100A8; S100A9; S100P; S100PBP; SCUBE2; SEPTIN2; SGPP1; SH3BP4; SIAH1; SLC1A5; SLC38A1; SLC38A2; SLC7A6; SLPI; SMARCD2; SMIM14; SNX27; SNX8; SPIDR; SPPL2A; SPRED2; SPRY4; SQOR; SRCIN1; SRRM3; SSBP2; STAT1; STC1; STK40; STX1A; SYBU; SYNC; SYT7; TAGLN2; TBC1D16; TEAD1; TEX2; TFEB; TGIF1; THADA; THRA; TIMM13; TM4SF1; TMBIM1; TMC1; TMED10; TMSB4X; TNFRSF1A; TPT1; TPT1-AS1; TRAPPC3; TRIB1; TSEN15; TSFM; TTC7A; TTC7B; TUT1; TXNDC11; TXNRD1; UBE2B; USP3; USP54; USP9X; VAV3; VMP1; VWA8; WASL; WDPCP; WWTR1; YARS1; ZC3H12A; ZC3H7A; ZFAND5; ZFR; ZMIZ1; ZNF217; ZNF580; ZNF581; ZNF594
AR Up - H3K27ac Unchanged,HALLMARK_ESTROGEN_RESPONSE_LATE,3.441732797491557e-6,0.0017745574303866469,69,165,,Genes defining late response to estrogen.,ADD3; AFF1; AGR2; AMFR; AREG; ARL3; BAG1; BCL2; BLVRB; CA12; CACNA2D2; CCN5; CD9; CDC6; CDH1; CPE; DCXR; DLG5; DNAJC1; ELOVL5; EMP2; FAM102A; FARP1; FKBP5; FLNB; FOS; FRK; GALE; GINS2; HMGCS2; IGFBP4; IL6ST; ITPK1; KLF4; KRT19; LARGE1; LLGL2; MAPT; MYB; MYOF; NCOR2; OVOL2; PAPSS2; PDCD4; PLAAT3; PPIF; PRKAR2B; PRLR; RAB31; RABEP1; S100A9; SCUBE2; SERPINA1; SIAH2; SLC1A4; SLC22A5; SLC24A3; SLC26A2; SLC9A3R1; SNX10; SULT2B1; TFAP2C; TFPI2; TOB1; TOP2A; TSPAN13; UGDH; XBP1; ZFP36
AR Up - H3K27ac Undetected,ISL1_TARGET_GENES,2.5449839559967225e-11,3.473562784291472e-8,184,534,http://gtrd.biouml.org/,"Genes containing one or more binding sites for UniProt:P61371 (ISL1) in their promoter regions (TSS -1000,+100 bp) as identified by GTRD version 20.06 ChIP-seq harmonization.",ADAT2; AGR3; AMACR; ANKRD17; ANKRD28; ANLN; AOPEP; AP3S2; ARHGEF28; ARHGEF3; ATG10; ATIC; BORCS5; C12orf29; C16orf87; C1orf21; CAAP1; CACNA1D; CATSPERB; CCDC191; CCNY; CD163L1; CDKAL1; CEP112; CHD7; CHN1; CLDN1; CLPB; COBLL1; CRCP; CRTAP; DDR2; DELE1; DIO2; DIPK2A; DMD; DNAJC19; DNAJC27; DTWD1; DTWD2; DYNC1I2; EGLN3; EIF2A; ELF2; ELL2; EML1; EPB41L2; EPM2AIP1; EPS8; ERC1; EXT1; FAM13A; FBXL2; FBXO38; FBXO4; FLVCR2; FNDC3B; FOXO3; FRRS1; FRS2; FRYL; FTCDNL1; GALK2; GCA; GREB1L; GTF3C4; HDAC9; HMG20A; ICA1L; ICE2; IFTAP; IL6ST; KATNAL1; KDM2A; KIF15; LAMTOR5-AS1; LINC00511; LMO7; LNC-LBCS; LRBA; LRIG3; LRRFIP2; LUC7L3; LZTFL1; MALSU1; MANSC1; MAP3K7; MAST4; MCC; METTL15; MFSD6; MID1IP1; MTHFD1L; MTUS1; MYBL1; MYO1B; NADK2; NALF1; NBEA; NCKAP1; NDUFS4; NHSL1; NIPBL; NR3C2; NUBPL; NUDT9; OLA1; PAG1; PART1; PBX1; PDE4B; PDE4D; PIGC; PKP2; PLA2R1; POLE2; POLE4; PPFIBP2; PPP1R12A; PRKAA1; PRKCH; PROM1; PRRC1; PTPRK; PVT1; QARS1; QDPR; QTRT2; RAB28; RAF1; RASSF6; RBFOX2; RBM47; REEP1; RETREG2; RFX3; RHOB; RIOX2; RNF145; RNF43; RPL22L1; RTRAF; SKP2; SLAIN2; SLC25A12; SNHG29; SNX5; SORCS1; SOX5; SPATS2L; SPRED2; STARD13; STAU2; STX18; STX18-AS1; STXBP1; SUB1; SYT17; TBCEL; TCF12; THADA; TLE1; TMEM260; TNPO1; TOM1L1; TOR1AIP1; TRDMT1; TRIM25; TSFM; TSHZ2; TSPAN12; TTC8; UBR3; USP40; UTRN; VMP1; VRK2; WDR61; WDR70; WWTR1; XRN2; ZBTB40; ZFAND3; ZNF609
AR Up - H3K27ac Undetected,HMGA1_TARGET_GENES,2.7307883524304024e-11,3.473562784291472e-8,185,538,http://gtrd.biouml.org/,"Genes containing one or more binding sites for UniProt:P17096 (HMGA1) in their promoter regions (TSS -1000,+100 bp) as identified by GTRD version 20.06 ChIP-seq harmonization.",ABCA4; ADAM9; AKAP9; ANK3; ANKRD44; ANO10; ANXA5; ARFGEF1; ARHGEF28; ASAH1; ASCC3; ATP6V0A4; BBX; BCAS3; C2CD5; C8orf34; CALCOCO2; CAMKMT; CBFA2T2; CBLN2; CBWD1; CCNB3; CCSER1; CD163L1; CDK17; CEP41; CEP76; CHN1; CNN3; CNTN1; COBLL1; CPNE4; DDX60L; DENND2B; DIP2B; DMXL2; DOP1B; DPY19L1; EFCAB13; EFCAB2; EGLN3; EHBP1; ELK4; ELL2; EMBP1; EML6; ENTPD4; EXOSC9; FBXO9; FCHSD2; FEZ2; FMN1; FOXK2; FOXP2; FRYL; FTO; GALK2; GPHN; GPRIN3; GRAMD1B; GTF3C1; HACE1; HDAC9; HECTD4; HERC3; HSD17B12; IGF2BP2; IGF2R; IL6ST; ILDR1; IMPA1; INTS3; IREB2; ITGAV; ITGB3BP; JAK1; KCNK1; KCNMA1; KIDINS220; KLF12; KNTC1; KPNA3; LAMTOR5-AS1; LANCL2; LDHB; LEF1; LIFR; LMO3; LPCAT2; LPIN2; LRIG3; LSM14A; LYST; MACF1; MAP4K3; MBIP; MKRN2OS; MON1B; MTPN; MYO1E; NCEH1; NCOR1; NF1; NFAT5; NFIB; NFXL1; NT5DC1; NUBPL; OPA1; PAPOLA; PCBP1-AS1; PCNX1; PDE11A; PDE4D; PDE5A; PDLIM5; PIGC; PIK3CB; PLCB1; PLCL1; PLOD2; PPA1; PPP2R5C; PTPN13; PTPRK; PTPRT; QRICH1; RAB6C; RAD51B; RANBP17; RAPGEF1; RBKS; REPIN1; RHOBTB3; RPGRIP1L; RPS3AP6; RTN4; SAMHD1; SBF2; SCN8A; SCOC; SCUBE2; SILC1; SIPA1L1; SLC12A2; SLC38A9; SLC44A3-AS1; SLMAP; SMCHD1; SMURF2; SMYD3; SPAG6; SPG11; SPIDR; SPIN2B; SRPRB; ST7; STAG2; STAT1; STEAP2; STIM2; SYNE1; TBC1D32; THADA; THOC2; TMEM144; TNIK; TNKS; TSHZ2; UBE2E2; UBE2G2; UBR5; USP7; UTP15; VAV3; WDFY2; WDR41; XRN1; ZC3H14; ZC3H7A; ZFAND2B; ZFAND3; ZMYND11; ZNF280D; ZNF592
AR Up - H3K27ac Undetected,F10_TARGET_GENES,3.6370951101126166e-9,3.084256653375499e-6,78,190,http://gtrd.biouml.org/,"Genes containing one or more binding sites for UniProt:P00742 (F10) in their promoter regions (TSS -1000,+100 bp) as identified by GTRD version 20.06 ChIP-seq harmonization.",ACACA; ADAT2; AGAP1; AGFG1; ANKRD28; ARHGAP24; ARHGAP5; ATP2C1; ATXN7L3B; BMPR1B; CDK5RAP1; CDK6; CREB3L2; CTNND2; CXCR4; DHX32; DMD; EGLN3; EHBP1; ELOVL6; EML1; EPHA4; FRMD4B; GABBR1; GLUL; GNAL; ILF2; JMJD1C; JPX; KCTD1; KIAA0232; LRBA; LRRC49; LTBP1; MAML2; MAP1B; MAP4K3; MEF2A; MIR99AHG; MYO1B; NAMPT; NEDD4L; NEDD9; NFAT5; NFXL1; OLA1; PARD3; PBX3; PDE4B; PDGFC; PKIB; PLCH1; RAPGEF2; RBM28; RHOBTB3; SALL2; SETBP1; SGMS1; SH3BGRL; SLC44A1; SLF1; SOX5; SPART; SPATA13; STAT1; TCF12; TENM2; TENM3; TMEM230; TNFRSF10B; TNKS; TRDMT1; UBE2E3; VPS41; ZFHX3; ZNF280D; ZNF518A; ZW10
AR Up - H3K27ac Undetected,DLX2_TARGET_GENES,4.851842511512486e-8,3.085771837321941e-5,76,193,http://gtrd.biouml.org/,"Genes containing one or more binding sites for UniProt:Q07687 (DLX2) in their promoter regions (TSS -1000,+100 bp) as identified by GTRD version 20.06 ChIP-seq harmonization.",AGR3; AHR; AKAP13; AKAP9; ANK3; ARHGAP26; ATP2C1; C17orf67; C1orf21; CEP120; DMXL2; DNAH11; DNMBP; DNTTIP2; DRAIC; ELP3; EML6; EPS8; GLRX; GNAL; HINT2; HMOX1; HNMT; HOXC6; ICA1; ILRUN; IRS1; JMJD1C; KAZN; KCNK1; LAMA3; LEKR1; LINC00511; LMO7; LTBP1; MALSU1; MAPK6; MLLT3; MPZL1; MYO10; MYOF; NAALADL2; NPM1; NXN; PANK3; PDE4D; PDHX; PHF12; PIGC; PLCB1; PPFIBP2; PRLR; RBM47; REPIN1; RND3; RNF125; RNF144A; RNF145; SCOC; SELENOP; SEMA3C; SEPTIN8; SMAD3; SNAP23; SP110; SPATS2L; SPRED2; SPSB1; SYNE2; TGS1; THADA; TMCC1; TMOD3; UTRN; VMP1; VWA8
AR Up - H3K27ac Undetected,ZNF596_TARGET_GENES,2.6866689142273766e-7,1.3669771435588892e-4,129,388,http://gtrd.biouml.org/,"Genes containing one or more binding sites for UniProt:Q8TC21 (ZNF596) in their promoter regions (TSS -1000,+100 bp) as identified by GTRD version 20.06 ChIP-seq harmonization.",ACTB; ACTN2; ACVR1; AEBP2; AMOTL1; AP3S2; ARPC5; ATP2B1; ATPAF1; ATRN; ATXN1; AUTS2; BBX; BCL6; BCL9; C19orf12; C1orf21; CASP7; CBFA2T2; CDYL; CPLANE1; CSNK1G3; CTNND1; CXADR; DDI2; DHRS4-AS1; DUSP16; EPC1; ETV6; FAM168A; FAM214A; FANCC; FBXW7; FGF13; FOSL2; FRA10AC1; FRYL; GATA3; GFRA1; GLI3; GPNMB; GRAMD1B; HIVEP3; HOXC6; IGF2BP2; INPP4B; ITGB3BP; JMJD1C; KCNK1; KDM2A; KDM3A; KIAA1671; KLLN; LRBA; MACF1; MAML2; MAPK10; MARCHF6; MBIP; MCC; MECOM; MED12L; MEIS1; MLLT3; MTUS1; MYLK; NALF1; NF1; NFIA; NFIB; NFIX; PAPOLA; PARP12; PCDH7; PDE10A; PDE4B; PHF21A; PIK3R1; PIP4K2A; PITPNC1; PLEKHG3; PMAIP1; POLR2K; PRKCE; PTCH1; PTEN; RAD52; RBM25; REPIN1; REV3L; RFLNA; RFX3; RNF217; RNF43; SEMA3C; SEPTIN7; SIL1; SIPA1L1; SLC19A2; SLC25A12; SLC25A29; SLC35F2; SLC35F3; SLC44A1; SLC4A7; SLC7A2; SMAD3; SOX5; SPRED2; STRN3; SVIL; SYNE2; TBC1D5; TCF7L2; THADA; THSD4; TPM4; TPRA1; TRDMT1; TRIM25; TRPS1; TTC23; USP7; ZBTB20; ZCCHC2; ZFHX3; ZNF462; ZNF827; ZSWIM6
